,pl,en
no_mysteries_short_description,"Gdy zdasz Trudny test Sprytu, MG musi zdradzić ci słabe punkty napotkanego mutanta. MG może także podać ci niektóre Współczynniki mutanta.","When you pass a Difficult Cunning test, the GM must reveal the weak points of the encountered mutant to you. The GM can also provide you with some of the mutant's Ratios."
mutant_for_breakfast_short_description,"Otrzymujesz bonus -20% do walki z mutantami (testy Charakteru, Inicjatywy, ataku, obrony).","You receive a -20% bonus to combat against mutants (Charisma, Initiative, attack, defense tests)."
merciless_short_description,Zaczynasz z jednym Punktem Sławy (złej). Reputacja kosztuje cię tylko 20PD i zawsze jest to zła sława.,"You start with one Infamy Point (bad). Reputation only costs you 20 RP, and it's always a bad reputation."
classe_short_description,Możesz przerzucić każdy test Perswazji i Zastraszania.,You can reroll any Persuasion and Intimidation tests.
respect_for_job_short_description,"Wystarczy, że zdasz Trudny test Perswazji, a miejscowi zaczną się wokół was uwijać, jakby co najmniej przyjechali z dawna oczekiwani goście. Jeśli w osadzie jest już lekarz, musisz zdać Bardzo Trudny test Perswazji.","It's enough that you pass a Hard Persuasion test, and the locals will start bustling around you as if you were long-awaited guests. If there is already a doctor in the settlement, you must pass a Very Hard Persuasion test."
field_paramedic_short_description,"Ignorujesz wszelkie utrudnienia do testów leczenia, wynikające z warunków panujących w otoczeniu.",You ignore any difficulties related to Healing tests caused by environmental conditions.
matches_and_a_safety_pin_short_description,"Dostajesz bonus +2 do Sprytu podczas testów technicznych (gdy montujesz, naprawiasz lub przerabiasz urządzenie mechaniczne lub elektroniczne).","You receive a +2 bonus to Intelligence during technical tests (when assembling, repairing, or modifying mechanical or electronic devices)."
troublesome_surplus_short_description,Gdy zdasz Trudny test Mechaniki lub Elektroniki. Zostaje ci garść części o wartości 20% całego urządzenia.,"When you pass a Difficult Mechanics or Electronics test, you salvage a handful of components worth 20% of the entire device."
reputation_short_description,Zwiększ o 15 punktów Reputację - już na starcie jesteś kimś uznanym w tej branży. Ponadto Punkt Reputacji kosztuje cię tylko 20PD.,"Increase your Reputation by 15 points - right from the start, you're already well-recognized in this industry. Furthermore, Reputation points only cost you 20 Character Points."
killing_machine_short_description,"Najemnik może tymczasowo zwiększyć o 2 punkty wartość dowolnego Współczynnika, ale bonus ten wykorzystać może tylko w walce. Ma to swoją cenę: po upływie godziny lub po wykonaniu 10-ciu testów tego Współczynnika, bonus znika, zaś Najemnik otrzymuje karę +50% ze zmęczenia","A mercenary can temporarily increase any Attribute by 2 points, but this bonus can only be used in combat. This comes at a cost: after one hour or after performing 10 tests using that Attribute, the bonus disappears, and the mercenary suffers a 50% penalty due to fatigue."
mute_short_description,"Gdy chronisz swojego klienta, nie otrzymujesz ujemnych modyfikatorów za półmrok, hałas, i inne trudne warunki podczas dowolnych testów Percepcji.","When you protect your client, you do not receive negative modifiers for low light, noise, and other challenging conditions during any Perception tests."
before_he_does_short_description,"Potrafisz oddać strzał życia w sytuacji, kiedy życie osoby, którą ochraniasz, jest zagrożone - wtedy automatycznie wygrywasz Inicjatywę i zaczynasz pierwszy.","You can make a life-saving shot when the life of the person you are protecting is in danger. In such a situation, you automatically win Initiative and go first."
a_uniform_and_a_badge_short_description,"Podczas testów Morale (Najpierw spójrz mi w oczy) twoi przeciwnicy zdają o poziom trudniejszy test niż normalnie. Za to dobrzy ludzie odnoszą się do ciebie z większym szacunkiem i zaufaniem: w kontaktach z postaciami nie nastawionymi do ciebie wrogo, otrzymujesz bonus +2 do Perswazji i Zdolności przywódczych. Niestety, gangerzy, mutki i wszelkie ścierwo mniej cię lubią.","During Morale tests (First, look me in the eyes), your opponents must take a test one difficulty level harder than normal. On the other hand, good people treat you with more respect and trust: in interactions with characters who are not hostile to you, you receive a +2 bonus to Persuasion and Leadership Abilities. Unfortunately, gang members, mutants, and all sorts of scum like you less."
one_of_us_short_description,"Nie musisz za każdym razem, gdy ustrzelisz jakiegoś gangera czy złodzieja, tracić czasu na dyskusje i przekonywanie innych stróżów prawa, że to było konieczne, a ty też jesteś z policji. Oni od razu widzą, coś za jeden. Dodatkowo 150 gambli na Znajomości wśród sędziów i egzekutorów.","You don't have to waste time discussing and convincing other law enforcers every time you shoot a gang member or thief and explaining that it was necessary and that you're also from the police. They immediately see through it. Additionally, you have 150 gambits for Contacts among judges and enforcers."
education_short_description,W pakiecie Wiedza ogólna wszystkie Umiejętności posiadasz od razu na poziomie 2.,"In the General Knowledge package, you already have all Skills at level 2."
focus_short_description,"Gdy zasiadasz do swojego zadania (czynności oparte na Sprycie), potrafisz odciąć się od wszelkich zewnętrznych zakłóceń.","When you embark on your task (activities based on Dexterity), you can detach yourself from any external disturbances."
the_spirits_have_spoken_short_description,Potrafisz odjechać w transie i MG powinien zdradzić ci wtedy dodatkowe informacje dotyczące wybranej osoby lub miejsca.,You can enter a trance and the GM should then reveal additional information about the selected person or place.
totem_short_description,"Gdy tylko zechcesz, upodabniasz się do totemicznego zwierzęcia. Musisz zdać Problematyczny test Współczynnika związanego z totemem, a otrzymasz do niego modyfikator +2.","When you wish, you can transform yourself into a totemic animal. You need to pass a Difficult Attribute test associated with the totem, and you will receive a +2 modifier to it."
what_do_i_care_anyway_short_description,"Automatycznie zdajesz wszystkie testy Kondycji przeciwko truciznom, chorobom i radiacji (otrzymujesz zawsze mniejszą karę).","You automatically pass all Endurance tests against poisons, diseases, and radiation (you always receive a smaller penalty)."
grey_short_description,"Jeśli Szczur zda Trudny test Sprytu, to może się poruszać niezauważony, ale tylko w otoczeniu pasującym do Szczura.","If the Rat passes a Hard Intelligence test, it can move unnoticed, but only in an environment that suits a Rat."
beast_short_description,"Zaczynasz grę posiadając jedną wytresowaną bestię, na którą zgodzi się MG. Ponadto potrafisz oswajać i tresować dzikie zwierzęta.","You start the game with one trained beast that the GM agrees on. Additionally, you can tame and train wild animals."
wolf_s_fang_short_description,"Jeżeli nie używasz broni i pancerza, zadajesz o poziom wyższe obrażenia wyrzucając na kostce 1, 2 Lub 3.","If you don't use weapons and armor, you deal damage one level higher by rolling 1, 2, or 3 on the die."
keen_senses_short_description,Zawsze zwiększasz swoją Percepcję o 3 podczas wszystkich testów Wypatrywania i Nasłuchiwania na otwartym terenie,You always increase your Perception by 3 during all Spot and Listen tests in open terrain.
recognizing_creatures_short_description,"Masz bonus do wszelkich testów Łowiectwa i Tropienia podczas identyfikacji wszelakiego cholerstwa pałętającego się po okolicy. Powiedzmy, zawsze masz jeden automatyczny sukces, dobra? MG może zdradzić ci niektóre Współczynniki Zwierzęcia.","You have a bonus to all Hunting and Tracking tests when identifying any critters wandering around the area. Let's say you always have one automatic success, okay? The GM may reveal to you some of the Creature Characteristics."
door_to_door_short_description,"Potrafisz używać swojej maszyny jak broni i z tej właśnie okazji w czasie walki na autostradzie, podczas wszystkich manewrów samochodem masz +2 do Zręczności.","You can use your vehicle as a weapon, and in combat situations on the highway, during all vehicle maneuvers, you have +2 Dexterity."
car_cover_short_description,"Nie otrzymujesz kary do prowadzenia samochodu za to, że kryjesz się i pochylasz, uzyskując 60% osłony. Wszyscy pasażerowie w prowadzonym przez ciebie aucie otrzymują dodatkowo +20% Osłony.","You don't receive a penalty for driving while hunched down and hidden, gaining 60% cover. All passengers in the car you're driving also get an additional +20% Cover."
us_and_them_short_description,Wiesz sporo o klanach i potrafisz dogadać się z ludźmi pustyni. Masz jeden automatyczny sukces we wszystkich testach Charakteru dotyczących czerwonoskórych i ludzi pustyni.,You know a lot about clans and can get along with desert people. You have an automatic success in all Charisma tests related to redskins and desert people.
this_is_my_home_short_description,Otrzymujesz 150 gambli na wykupienie czerwonoskórych Znajomych.,You receive 150 gambits to buy redskin Contacts.
end_of_the_job_short_description,"Jeśli masz swój cel (zakontraktowane zlecenie) w zasięgu wzroku, dodaj sobie jeden sukces do każdej akcji, która jest związana z zakończeniem zlecenia.","If you have your target (contracted assignment) in sight, add one success to every action related to completing the assignment."
one_shot_short_description,"Otrzymujesz bonus +2 do Umiejętności strzelania, rzucania albo walki, ale tylko na czas pierwszego testu, zaś obrażenia zadane w tym pierwszym ciosie / strzale są o poziom Wyższe.","You receive a bonus of +2 to the Shooting, Throwing, or Fighting skill, but only for the first test, and the damage dealt in this first hit/shot is one level higher."
weak_spot_short_description,"Jeśli zdasz Trudny test Percepcji, MG musi ci zdradzić słaby punkt danej maszyny. MG może zdradzić ci niektóre Współczynniki robota.","If you pass a Hard Perception test, the GM must reveal the weak point of the machine in question. The GM can also disclose some of the robot's Characteristics."
